varName,varType,n,beta,lower,upper,pvalue
"5992",INTEGER,10595/39619(50214),-0.00567799174204024,-0.0440417528530359,0.0328383593574784,0.772186130666312
"6034",CAT-SIN,44988/5226(50214),0.0298790305350354,-0.0208174244837273,0.0802048453278585,0.2462719676922
"6138#3",CAT-MUL,176155/161550(337705),0.00589234055710045,-0.00617911998176017,0.0179628136867131,0.338697128420393
"6138#6",CAT-MUL,238980/98725(337705),0.00780249794034958,-0.00518248250792147,0.0207740747067232,0.238665603640898
"6138#2",CAT-MUL,245103/92602(337705),0.000987437261734267,-0.0125087358564847,0.0144687068805198,0.885911852864933
"6138#1",CAT-MUL,230302/107403(337705),0.00285547929776978,-0.0100734697843075,0.0157733433836706,0.664968541859729
"6138#100",CAT-MUL,279581/58124(337705),-0.00129061203127691,-0.0176764524956717,0.0150666953876214,0.877207702671023
"6138#5",CAT-MUL,274255/63450(337705),-0.00264272996148337,-0.0180322993699034,0.0127197874335675,0.736214737877709
"6138#4",CAT-MUL,292821/44884(337705),0.0121282152539731,-0.00643809598000804,0.0306567004955713,0.199969261721046
"6139#1",CAT-MUL,102681/237337(340018),0.00653857551267193,-0.00638055695791117,0.0194704189337746,0.32144901963066
"6139#100",CAT-MUL,280153/59865(340018),-0.0112853311526643,-0.0268569240512647,0.00425584666885072,0.155067446767992
"6139#2",CAT-MUL,201705/138313(340018),0.00626635575372669,-0.00596427840783973,0.0184923791118644,0.315196214444722
"6139#3",CAT-MUL,309320/30698(340018),-0.0156738380167479,-0.0364981245261906,0.00508238810007331,0.139501226936883
"6140#1",CAT-MUL,9005/103587(112592),0.0376512063120534,-0.00082537785441453,0.0763697979853053,0.0558775475890986
"6140#2",CAT-MUL,109354/3238(112592),0.00972438732138045,-0.0519825412587104,0.0707472710836791,0.756079406107239
"6140#6",CAT-MUL,112171/421(112592),-0.0267947142183901,-0.198924703192447,0.139683798226732,0.75625806375402
"6140#3",CAT-MUL,109577/3015(112592),-0.0453252793692298,-0.111751946368398,0.0203527617066821,0.178604841884432
"6140#100",CAT-MUL,110483/2109(112592),-0.0626039859839512,-0.140376645497006,0.0140110955198735,0.111892554927297
"6140#5",CAT-MUL,111886/706(112592),-0.06148026384483,-0.195604695126352,0.0691343869774264,0.362455990066258
"6140#4",CAT-MUL,112295/297(112592),-0.0668537201009352,-0.274505167852033,0.132449447621677,0.519199264488062
"6141#1",CAT-MUL,86200/252636(338836),-0.00756648097907591,-0.0211770529390276,0.00606118142362302,0.276190298353371
"6141#2",CAT-MUL,225254/113582(338836),0.00181364411523524,-0.0121937030397833,0.0158122552354459,0.799609603456204
"6141#4",CAT-MUL,332931/5905(338836),-0.0677333088969331,-0.113923858911123,-0.0219528128199229,0.00388887082164916
"6141#3",CAT-MUL,337341/1495(338836),-0.114348190756525,-0.207010756119716,-0.0234141099128422,0.0146062788767239
"6141#8",CAT-MUL,333302/5534(338836),-0.00299802393471364,-0.0498868126677115,0.0434825913120423,0.899832964455953
"6141#7",CAT-MUL,337013/1823(338836),-0.0760062429390821,-0.158922306956415,0.00555119475871299,0.0700197944493685
"6141#6",CAT-MUL,336074/2762(338836),0.0540644092215679,-0.0108426194035934,0.118199231743843,0.100490062952623
"6141#5",CAT-MUL,338746/90(338836),-0.356099052623894,-0.779727460737864,0.030095421906809,0.0835519349367251
