25840_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25841_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25842_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25843_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25844_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25845_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25846_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25847_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25848_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25849_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25850_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25851_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25852_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25853_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25854_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25855_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25856_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25857_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25858_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25859_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25860_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25861_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25862_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25863_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25864_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25865_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25866_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25867_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25868_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25869_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25870_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25871_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25872_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25873_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25874_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25875_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25876_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25877_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25878_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25879_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25880_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25881_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25882_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25883_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25884_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25885_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25886_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25887_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25888_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25889_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25890_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25891_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25892_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25893_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25894_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25895_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25896_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
