varName,varType,n,beta,lower,upper,pvalue
"5182-1",CAT-SIN,74501/74594,-999,-999,-999,0.114673053171888
"5182-1#3",CAT-SIN,74501#41,-0.398621204938032,-1.01145327418032,0.214210864304254,0.202354112439888
"5182-1#2",CAT-SIN,74501#52,-0.424830181335322,-0.97229857692955,0.122638214258906,0.128281645968792
"5185-1",CAT-SIN,74170/74439,-999,-999,-999,0.316956601649643
"5185-1#7",CAT-SIN,74170#232,0.168491129652824,-0.046583779528578,0.383566038834226,0.124673584983069
"5185-1#6",CAT-SIN,74170#37,-0.0246078513883728,-0.597562925036313,0.548347222259568,0.932914506760686
"5187-1",CAT-SIN,74122/74428,-999,-999,-999,0.508352541244744
"5187-1#7",CAT-SIN,74122#264,0.115583088427644,-0.0887312074092715,0.319897384264559,0.267527031554272
"5187-1#6",CAT-SIN,74122#42,-0.106528934809902,-0.654986613024456,0.441928743404653,0.703432583641987
"5189-1",CAT-SIN,72382/73665,-999,-999,-999,0.968474887275519
"5189-1#7",CAT-SIN,72382#861,-0.00972308818648765,-0.127947526628098,0.108501350255123,0.871941722252866
"5189-1#6",CAT-SIN,72382#422,0.0166932688193242,-0.151147702678028,0.184534240316676,0.845443246518688
"5191-1",CAT-SIN,72143/73654,-999,-999,-999,0.430073446687096
"5191-1#7",CAT-SIN,72143#945,-0.0543786679247274,-0.168768193898686,0.0600108580492309,0.351475727642188
"5191-1#6",CAT-SIN,72143#566,-0.0685009164599532,-0.216997239205132,0.0799954062852254,0.365928797178062
"5194-1",CAT-SIN,71087/73665,-999,-999,-999,0.434988054134467
"5194-1#7",CAT-SIN,71087#1466,0.049451644248565,-0.0402753784981534,0.139178666995283,0.28005158163394
"5194-1#6",CAT-SIN,71087#1112,0.0387178629402397,-0.0644873246751494,0.141923050555629,0.462163637399686
"5196-1",CAT-SIN,70983/73654,-999,-999,-999,0.746056870752409
"5196-1#6",CAT-SIN,70983#1144,0.00642600229446083,-0.0962409669089645,0.109092971497886,0.902363978452896
"5196-1#7",CAT-SIN,70983#1527,0.0342651454457865,-0.0540189458898383,0.122549236781411,0.446831248783241
"5324-0",CAT-SIN,3784/5285,-999,-999,-999,0.383524379091998
"5324-0#2",CAT-SIN,3784#339,0.157524634901589,-0.0347329811900703,0.349782250993249,0.108300335201203
"5324-0#4",CAT-SIN,3784#872,0.0363021572580375,-0.0996397261247883,0.172244040640863,0.600701354270021
"5324-0#3",CAT-SIN,3784#290,-0.0519977245107556,-0.26905987388972,0.165064424868208,0.638702447090519
"5325-0",CAT-SIN,3731/5217,-999,-999,-999,0.78600097071318
"5325-0#4",CAT-SIN,3731#1143,0.00142929590444675,-0.120314864617026,0.12317345642592,0.981642064519637
"5325-0#3",CAT-SIN,3731#160,0.0515547511160142,-0.222323855277666,0.325433357509695,0.712170590432429
"5325-0#2",CAT-SIN,3731#183,0.125834202870049,-0.125427061549395,0.377095467289493,0.326311759870412
"5326-0",CAT-SIN,5205/5283,-999,-999,-999,0.170171154355869
"5326-0#2",CAT-SIN,5205#25,-0.817420318222997,-1.74513847361636,0.110297837170363,0.0841782862179485
"5326-0#3",CAT-SIN,5205#18,-0.533031155701706,-1.49160740693153,0.425545095528115,0.275771162985635
"5326-0#4",CAT-SIN,5205#35,0.0250155986387627,-0.547534456261037,0.597565653538563,0.931757479345088
"5327-0",CAT-SIN,5100/5277,-999,-999,-999,0.207661387483087
"5327-0#4",CAT-SIN,5100#131,-0.353542976379368,-0.691662722728155,-0.0154232300305812,0.0404262270120948
"5327-0#2",CAT-SIN,5100#24,0.042106883858041,-0.662773126939566,0.746986894655649,0.906795956679883
"5327-0#3",CAT-SIN,5100#22,-0.0266116912649575,-0.775048808054896,0.721825425524982,0.944441067250301
"5328-0",CAT-SIN,5147/5274,-999,-999,-999,0.410793401938551
"5328-0#2",CAT-SIN,5147#54,0.0951445146044808,-0.360496914679479,0.550785943888441,0.682342407866668
"5328-0#3",CAT-SIN,5147#44,-0.470544377853687,-1.06522125257335,0.124132496865978,0.120939488206435
"5328-0#4",CAT-SIN,5147#29,-0.0594341739893771,-0.702825267386805,0.583956919408051,0.856324812959618
"5408-2",CAT-SIN,1555/2732,-999,-999,-999,0.933509241673445
"5408-2#1",CAT-SIN,1555#1050,-0.0235675119612559,-0.160264317425776,0.113129293503265,0.735429593995669
"5408-2#3",CAT-SIN,1555#127,0.0146965068791665,-0.298831424595449,0.328224438353782,0.926799266611861
"5419-2",CAT-SIN,249/539,-999,-999,-999,0.656177948612571
"5419-2#1",CAT-SIN,249#229,0.1516459005471,-0.176360138499564,0.479651939593764,0.364859962868642
"5419-2#3",CAT-SIN,249#61,0.110571748309914,-0.408499280785821,0.629642777405649,0.676306398959818
"5441-3",CAT-SIN,2371/3905,-999,-999,-999,0.243771865772601
"5441-3#1",CAT-SIN,2371#828,0.0911354202025755,-0.0465734278532957,0.228844268258447,0.194596795278567
"5441-3#2",CAT-SIN,2371#706,-0.0551525531049914,-0.205371296382201,0.095066190172218,0.471772910661836
"5540-0",CAT-SIN,23994/24257,-999,-999,-999,0.239157649414679
"5540-0#1",CAT-SIN,23994#137,0.249433158348743,-0.0262135112035879,0.525079827901074,0.0761334970151819
