varName,varType,n,beta,lower,upper,pvalue
"1448-3",CAT-SIN,190156/329140,-999,-999,-999,0.997670660342906
"1448-3#1",CAT-SIN,190156#86969,-0.000541902488866874,-0.0148010134547802,0.0137172084770464,0.940623389213839
"1448-3#4",CAT-SIN,190156#13285,-0.00174878042513691,-0.0325719336088962,0.0290743727586224,0.911457442503521
"1448-3#2",CAT-SIN,190156#38730,-0.00220787823346681,-0.021376305492372,0.0169605490254384,0.821392241093526
"1468-3",CAT-SIN,71597/284304,-999,-999,-999,0.741255871967829
"1468-3#4",CAT-SIN,71597#57853,0.00589918838136863,-0.0133801787148055,0.0251785554775428,0.548693730611459
"1468-3#5",CAT-SIN,71597#55415,0.00885171477841394,-0.0107135018563038,0.0284169314131316,0.375224898615407
"1468-3#1",CAT-SIN,71597#48409,-0.00337943029215939,-0.0235937607008004,0.0168349001164816,0.743163731855101
"1468-3#2",CAT-SIN,71597#51030,-0.00218551284586094,-0.0221478113010175,0.0177767856092956,0.830094145358223
"1508-2",CAT-SIN,151326/268531,-999,-999,-999,0.763133197669095
"1508-2#3",CAT-SIN,151326#59670,-0.00885182973802293,-0.025739733359044,0.00803607388299815,0.30427018868962
"1508-2#1",CAT-SIN,151326#53009,-0.00110131685286909,-0.0185307753084969,0.0163281416027587,0.901438451635601
"1508-2#4",CAT-SIN,151326#4526,0.00517246956056782,-0.0464906509998752,0.0568355901210108,0.844430149376242
"1538-0",CAT-SIN,209386/340225,-999,-999,-999,0.0606922003587847
"1538-0#2",CAT-SIN,209386#94997,-0.0162592138037518,-0.02973014573519,-0.00278828187231364,0.0179985828672402
"1538-0#1",CAT-SIN,209386#35842,-0.00509227330963758,-0.0247350814008394,0.0145505347815642,0.611377449786429
"1647-1",CAT-SIN,286940/340817,-999,-999,-999,0.78705467237064
"1647-1#6",CAT-SIN,286940#5678,0.0280027336104352,-0.0180081540606054,0.0740136212814757,0.232925893704848
"1647-1#4",CAT-SIN,286940#1716,-0.0367699720919749,-0.122007498579898,0.0484675543959478,0.397835056419851
"1647-1#3",CAT-SIN,286940#29599,0.00630108498345264,-0.0295548133736267,0.042156983340532,0.730521828510095
"1647-1#2",CAT-SIN,286940#16688,0.00418982526127579,-0.0381810919317083,0.0465607424542599,0.846324672275781
"1647-1#5",CAT-SIN,286940#196,0.0350625886710957,-0.206812394577056,0.276937571919248,0.776318766592468
"1707-1",CAT-SIN,302538/340796,-999,-999,-999,0.599557463079668
"1707-1#2",CAT-SIN,302538#32715,0.00973585381182865,-0.0102126620601327,0.02968436968379,0.338790133513469
"1707-1#3",CAT-SIN,302538#5543,-0.00689646954780627,-0.0535291721262468,0.0397362330306343,0.771925365664313
"1747-3",CAT-SIN,140079/340219,-999,-999,-999,0.792857918559495
"1747-3#1",CAT-SIN,140079#39019,0.00240119215492455,-0.017265934887588,0.0220683191974371,0.810876645972776
"1747-3#4",CAT-SIN,140079#126945,-0.00109319560907654,-0.0144095335058397,0.0122231422876866,0.8721706685886
"1747-3#5",CAT-SIN,140079#14396,0.014840121965404,-0.0154173606366032,0.0450976045674111,0.33640821647215
"1747-3#2",CAT-SIN,140079#15527,0.0152755831080448,-0.0136084811817734,0.0441596473978631,0.299948597686249
"1747-3#6",CAT-SIN,140079#4253,0.0134992434084118,-0.0397486695228917,0.0667471563397153,0.61927092223016
"2247-0",CAT-SIN,241941/327494,-999,-999,-999,0.605908391346252
"2247-0#1",CAT-SIN,241941#85474,0.0067013876281406,-0.00719221760397538,0.0205949928602566,0.344474390438586
"2247-0#99",CAT-SIN,241941#79,0.0653790202381224,-0.313491328769394,0.444249369245639,0.735199402920084
"2395-1",CAT-SIN,49939/156534,-999,-999,-999,0.0830401907712248
"2395-1#2",CAT-SIN,49939#36018,0.0274956989424757,0.00380025066431492,0.0511911472206365,0.0229479003047786
"2395-1#3",CAT-SIN,49939#41921,0.0188383687631228,-0.00411282615494817,0.0417895636811937,0.107673024421363
"2395-1#4",CAT-SIN,49939#28656,0.0362098260083825,0.0106902037224994,0.0617294482942656,0.00541924875337219
"2654-7",CAT-SIN,61448/180678,-999,-999,-999,0.711118142242425
"2654-7#2",CAT-SIN,61448#27429,-0.00628128684345833,-0.0314206502622763,0.0188580765753597,0.624336356399161
"2654-7#4",CAT-SIN,61448#22416,-0.0154286745315933,-0.0423771761061061,0.0115198270429195,0.261808363594645
