varName,varType,n,beta,lower,upper,pvalue
"12139",CAT-SIN,721/53221(53942),0.0258801810342104,-0.102665387173948,0.157715675637352,0.696706632902035
"12140",CAT-SIN,695/53247(53942),0.0425343176654955,-0.0889563035459588,0.177504697828779,0.531324153629092
"12141",CAT-SIN,17/54433(54450),-0.642524547818839,-1.33943060742122,0.115739370781469,0.080032617014906
"12224",CAT-SIN,7418/44762(52180),-0.0157501318319892,-0.0586184645326954,0.0273731724673722,0.472757071235543
"12254",CAT-SIN,3046/49604(52650),0.0642221964525807,-0.00241200981935049,0.1315836103798,0.0602515248311111
"12292",CAT-SIN,337/52967(53304),0.264993110403586,0.0638903804960215,0.475098869094937,0.0114527177051221
"12700",CAT-SIN,505/45437(45942),-0.0599824525180923,-0.209572937539187,0.093899361139252,0.438219200408236
"20001#1053",CAT-MUL,340188/634(340822),0.0133127257013951,-0.124376746410043,0.147434712361412,0.847685438689704
"20001#1044",CAT-MUL,338335/2487(340822),-0.0204469884601821,-0.0912748699322127,0.0494671613323804,0.568978996179146
"20001#1061",CAT-MUL,337652/3170(340822),-0.0214863510146288,-0.0834947867325316,0.0397881820584967,0.494452631747242
"20001#1003",CAT-MUL,339762/1060(340822),0.00249052028308835,-0.103925056957106,0.106767968279791,0.963032813971905
"20001#1040",CAT-MUL,339971/851(340822),-0.0107610260813471,-0.130600257704894,0.106351021983528,0.858659623055296
"20001#1059",CAT-MUL,338126/2696(340822),-0.0432108915359069,-0.110838483506467,0.0235280164550242,0.207402215198216
"20001#1072",CAT-MUL,339664/1158(340822),0.005387938019539,-0.0974463756698937,0.106264689828419,0.917404622004564
"20001#1002",CAT-MUL,333283/7539(340822),-0.00773196467433203,-0.0484945304600167,0.0327379677973445,0.709054242094742
"20001#1035",CAT-MUL,340000/822(340822),0.0366186461516689,-0.0835588720764185,0.154120857288733,0.545758134238998
"20001#1052",CAT-MUL,340502/320(340822),0.266189402008051,0.0849599819498514,0.44220133647924,0.00346749028350502
"20001#99999",CAT-MUL,340459/363(340822),-0.142156276208525,-0.333192009382233,0.041559195918112,0.136699298137627
"20001#1060",CAT-MUL,340327/495(340822),0.02444058976443,-0.131099978715278,0.175469989251436,0.754525363827152
"20001#1039",CAT-MUL,340241/581(340822),0.0286698089185431,-0.114589521780471,0.168109376044892,0.690834497084547
"20001#1077",CAT-MUL,340796/26(340822),-0.499843287207755,-1.38806442589571,0.231870870654142,0.219310223631064
"20001#1062",CAT-MUL,340401/421(340822),-0.025810587502468,-0.196962646392909,0.139771634966473,0.763674317952425
"20001#1045",CAT-MUL,340217/605(340822),-0.00265142099109657,-0.144185086546998,0.135107612745965,0.970301530465986
"20001#1041",CAT-MUL,339477/1345(340822),0.0870122702844482,-0.00535012291445202,0.177838965108757,0.0625631740489423
"20001#1065",CAT-MUL,340507/315(340822),-0.0548782686920454,-0.255473883809901,0.1379091195077,0.584145928027749
"20001#1018",CAT-MUL,340696/126(340822),0.0412724503258221,-0.269444168858549,0.334749817336729,0.788445670385958
"20001#1006",CAT-MUL,340568/254(340822),-0.174830391175144,-0.40683230976281,0.0463449741391705,0.130003937597044
"20001#1073",CAT-MUL,340324/498(340822),-0.0749661239089751,-0.235535812652204,0.0805479098458401,0.352246394270612
"20001#1034",CAT-MUL,340379/443(340822),0.0319359263235048,-0.132249406822978,0.191108466274651,0.698474606902474
"20001#1055",CAT-MUL,340606/216(340822),-0.0887228268142028,-0.334690290541203,0.145491087090749,0.468294256656417
"20001#1068",CAT-MUL,340636/186(340822),-0.106562254675067,-0.374229803337519,0.147032615671653,0.422187277279455
"20001#1066",CAT-MUL,340808/14(340822),0.24198735538846,-0.689098002085576,1.04851470718693,0.578875476221283
"20001#1001",CAT-MUL,340635/187(340822),0.0731004305956896,-0.178073079311948,0.313038660895596,0.559032865212598
"20001#1023",CAT-MUL,340573/249(340822),-0.218986518502942,-0.457883996778598,0.00812975958630618,0.0651247547487006
"20001#1022",CAT-MUL,339703/1119(340822),0.0964233748362092,-0.00459510482987517,0.195622244991335,0.0589917720151886
"20001#1020",CAT-MUL,340342/480(340822),0.0220295448703108,-0.13648194657321,0.175831580041637,0.782044891787769
