varName,varType,n,beta,lower,upper,pvalue
"6019-1",CAT-SIN,44479/50889,-999,-999,-999,0.760835383107217
"6019-1#2",CAT-SIN,44479#5743,0.0160496755600468,-0.0324710676812973,0.0645704188013908,0.516780429150526
"6019-1#6",CAT-SIN,44479#430,-0.0349966150564611,-0.203490213576746,0.133496983463824,0.683941686937205
"6019-1#7",CAT-SIN,44479#237,-0.0871366102179099,-0.319883717365168,0.145610496929348,0.463084284093079
"6020-1",CAT-SIN,46657/50222,-999,-999,-999,0.0422811788321212
"6020-1#33",CAT-SIN,46657#2759,-0.0222592038399245,-0.0905852032325689,0.0460667955527198,0.523137899062473
"6020-1#34",CAT-SIN,46657#125,-0.197463573547761,-0.52352404242482,0.128596895329298,0.235242481329042
"6020-1#31",CAT-SIN,46657#487,0.0439568904877447,-0.11155100203261,0.199464783008099,0.579567624489441
"6020-1#32",CAT-SIN,46657#194,-0.38115996957048,-0.661239247601073,-0.101080691539888,0.00764598465983402
"6070-1",CAT-SIN,43647/50807,-999,-999,-999,0.377238263143302
"6070-1#6",CAT-SIN,43647#5093,-0.0369451627934933,-0.0891745503902054,0.0152842248032188,0.165622660721789
"6070-1#7",CAT-SIN,43647#2067,0.000701486650859382,-0.0773234809427752,0.0787264542444939,0.985941095143363
"6072-1",CAT-SIN,43390/50803,-999,-999,-999,0.557662262799328
"6072-1#6",CAT-SIN,43390#5231,-0.0282198764442946,-0.0797666152509662,0.023326862362377,0.28326858547217
"6072-1#7",CAT-SIN,43390#2182,0.000995272202905315,-0.0750659013819634,0.0770564457877741,0.979539351312887
"6119-3",CAT-SIN,956/1275,-999,-999,-999,0.147943636890832
"6119-3#2",CAT-SIN,956#149,0.281967320072022,-0.0171139649218974,0.581048605065942,0.0646296388035419
"6119-3#1",CAT-SIN,956#170,-0.0679659523366317,-0.373925724716128,0.237993820042865,0.663281755184533
"6205-2",CAT-SIN,739/1448,-999,-999,-999,0.683628116784247
"6205-2#1",CAT-SIN,739#484,0.0367203674398084,-0.16480455945288,0.238245294332497,0.720994484617674
"6205-2#3",CAT-SIN,739#225,0.114231926158793,-0.142699340471378,0.371163192788964,0.383534605880443
