26898_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26899_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26900_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26901_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26902_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26903_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26904_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26905_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26906_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26907_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26908_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26909_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26910_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26911_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26912_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26913_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26914_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26915_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26916_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26917_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26918_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26919_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26920_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26921_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26922_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26923_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26924_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26925_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26926_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26927_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26928_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26929_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26930_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26931_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26932_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26933_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26934_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26935_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26936_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26937_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26938_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26939_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26940_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26941_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26942_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26943_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26944_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26945_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26946_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26947_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26948_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
26949_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
