name,countValue
catMul.binary,12
catMul.over10,12
catSin.case1,26
catSin.case2,1
catSin.case3,58
catSinToCatMul,1
cont.main,2
cont.ordcattry,2
cont.ordcattry.ordcat,2
excluded.catSin,3
excluded.cont,1
excluded.int,5
int.catord,34
int.continuous,4
notinphenofile,1
ordCat,62
start.catMul,1
start.catSin,85
start.int,38
success.binary,70
success.continuous,2
success.ordCat,62
success.unordCat,1
